GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dictation-backend,com.yhj.dictation.dto,ReportDTO.DailyReport,235,0,46,0,6,0,38,0,15,0
dictation-backend,com.yhj.dictation.dto,DifficultWordDTO,297,59,70,0,0,9,39,17,4,17
dictation-backend,com.yhj.dictation.dto,SuggestionDTO,264,52,62,0,0,8,35,15,4,15
dictation-backend,com.yhj.dictation.dto,StatusUpdateRequest,65,10,14,0,0,2,11,3,4,3
dictation-backend,com.yhj.dictation.dto,WordDTO,264,52,62,0,0,8,35,15,4,15
dictation-backend,com.yhj.dictation.dto,DictationResponse,298,59,70,0,0,9,39,17,4,17
dictation-backend,com.yhj.dictation.dto,ReportDTO,268,48,62,0,0,8,36,14,5,14
dictation-backend,com.yhj.dictation.dto,WordAddRequest,131,24,30,0,0,4,19,7,4,7
dictation-backend,com.yhj.dictation.dto,DifficultWordAddRequest,65,10,14,0,0,2,11,3,4,3
dictation-backend,com.yhj.dictation.dto,BatchResponse,264,52,62,0,0,8,35,15,4,15
dictation-backend,com.yhj.dictation.dto,CompleteRequest,115,0,22,0,3,0,20,0,9,0
dictation-backend,com.yhj.dictation.dto,PresetContentDTO,210,0,38,0,7,0,33,0,14,0
dictation-backend,com.yhj.dictation.dto,ApiResponse,134,42,26,0,2,7,21,7,8,7
dictation-backend,com.yhj.dictation.dto,BatchCreateRequest,98,17,22,0,0,3,15,5,4,5
dictation-backend,com.yhj.dictation.controller,PageController,0,13,0,0,0,6,0,6,0,6
dictation-backend,com.yhj.dictation.controller,PresetContentController,282,0,20,0,49,0,15,0,5,0
dictation-backend,com.yhj.dictation.controller,DifficultWordController,0,202,0,0,0,53,0,13,0,13
dictation-backend,com.yhj.dictation.controller,DictationBatchController,0,147,0,0,0,37,0,11,0,11
dictation-backend,com.yhj.dictation.controller,SuggestionController,0,181,0,0,0,54,0,12,0,12
dictation-backend,com.yhj.dictation.controller,WordController,0,194,0,0,0,49,0,12,0,12
dictation-backend,com.yhj.dictation.controller,DictationRecordController,52,339,6,6,13,87,6,18,2,16
dictation-backend,com.yhj.dictation,DictationApplication,5,3,0,0,2,1,1,1,1,1
dictation-backend,com.yhj.dictation.service,DictationRecordService,103,264,9,11,24,60,7,21,2,16
dictation-backend,com.yhj.dictation.service,DifficultWordService,0,449,0,18,0,106,0,30,0,21
dictation-backend,com.yhj.dictation.service,DictationBatchService,0,382,1,19,0,85,1,25,0,16
dictation-backend,com.yhj.dictation.service,WordService,184,48,9,1,39,11,18,5,13,5
dictation-backend,com.yhj.dictation.service,SuggestionService,1,388,1,19,0,80,1,32,0,23
dictation-backend,com.yhj.dictation.entity,DictationBatch,227,61,53,1,0,10,30,14,3,14
dictation-backend,com.yhj.dictation.entity,Suggestion,227,54,53,1,0,8,30,14,3,14
dictation-backend,com.yhj.dictation.entity,DictationRecord,294,71,69,1,0,11,38,18,3,18
dictation-backend,com.yhj.dictation.entity,Word.WordStatus,0,27,0,0,0,5,0,1,0,1
dictation-backend,com.yhj.dictation.entity,DifficultWord,300,66,69,1,2,9,40,16,5,16
dictation-backend,com.yhj.dictation.entity,DictationRecord.RecordStatus,0,21,0,0,0,4,0,1,0,1
dictation-backend,com.yhj.dictation.entity,Suggestion.SuggestionType,0,33,0,0,0,6,0,1,0,1
dictation-backend,com.yhj.dictation.entity,DictationBatch.BatchStatus,0,27,0,0,0,5,0,1,0,1
dictation-backend,com.yhj.dictation.entity,Word,265,55,62,0,0,9,35,15,4,15
dictation-backend,com.yhj.dictation.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
dictation-backend,com.yhj.dictation.config,CorsConfig,89,0,6,0,19,0,5,0,2,0
dictation-backend,com.yhj.dictation.config,GlobalExceptionHandler,34,7,0,0,9,2,3,2,3,2
